행정구역,2011년07월_계_총인구수,2011년07월_계_연령구간인구수,2011년07월_계_0~9세,2011년07월_계_10~19세,2011년07월_계_20~29세,2011년07월_계_30~39세,2011년07월_계_40~49세,2011년07월_계_50~59세,2011년07월_계_60~69세,2011년07월_계_70~79세,2011년07월_계_80~89세,2011년07월_계_90~99세,2011년07월_계_100세 이상,2011년07월_남_총인구수,2011년07월_남_연령구간인구수,2011년07월_남_0~9세,2011년07월_남_10~19세,2011년07월_남_20~29세,2011년07월_남_30~39세,2011년07월_남_40~49세,2011년07월_남_50~59세,2011년07월_남_60~69세,2011년07월_남_70~79세,2011년07월_남_80~89세,2011년07월_남_90~99세,2011년07월_남_100세 이상,2011년07월_여_총인구수,2011년07월_여_연령구간인구수,2011년07월_여_0~9세,2011년07월_여_10~19세,2011년07월_여_20~29세,2011년07월_여_30~39세,2011년07월_여_40~49세,2011년07월_여_50~59세,2011년07월_여_60~69세,2011년07월_여_70~79세,2011년07월_여_80~89세,2011년07월_여_90~99세,2011년07월_여_100세 이상
서울특별시  (1100000000),10282472,10282472,844314,1224089,1551550,1848575,1740573,1545556,895712,463285,143308,22036,3474,5092201,5092201,434432,641400,773226,937873,873079,746556,431999,203331,43767,5660,878,5190271,5190271,409882,582689,778324,910702,867494,799000,463713,259954,99541,16376,2596
서울특별시 종로구 (1111000000),169217,169217,10877,19313,25668,26687,29418,25900,16727,10420,3428,649,130,84344,84344,5599,10239,13162,13645,14870,12901,7798,4646,1218,223,43,84873,84873,5278,9074,12506,13042,14548,12999,8929,5774,2210,426,87
서울특별시 종로구 청운효자동(1111051500),15415,15415,1280,2272,1900,2464,2834,1985,1364,952,298,58,8,7508,7508,708,1273,966,1128,1369,953,575,415,111,8,2,7907,7907,572,999,934,1336,1465,1032,789,537,187,50,6
서울특별시 종로구 사직동(1111053000),10126,10126,718,949,1374,1690,1680,1604,1082,727,246,43,13,4713,4713,360,450,640,820,786,754,474,328,84,15,2,5413,5413,358,499,734,870,894,850,608,399,162,28,11
서울특별시 종로구 삼청동(1111054000),3454,3454,207,357,449,527,547,576,387,263,113,25,3,1655,1655,110,182,220,270,262,270,177,107,45,11,1,1799,1799,97,175,229,257,285,306,210,156,68,14,2
서울특별시 종로구 부암동(1111055000),11418,11418,683,1702,1560,1465,2115,1786,1077,713,262,49,6,5660,5660,349,994,782,715,962,876,526,325,109,21,1,5758,5758,334,708,778,750,1153,910,551,388,153,28,5
서울특별시 종로구 평창동(1111056000),19650,19650,1283,2795,2765,2540,3549,3228,1734,1174,467,100,15,9412,9412,675,1530,1444,1173,1549,1543,807,517,146,21,7,10238,10238,608,1265,1321,1367,2000,1685,927,657,321,79,8
서울특별시 종로구 무악동(1111057000),8661,8661,822,1131,1003,1341,1622,1267,770,511,165,26,3,4162,4162,427,545,487,654,813,597,349,219,52,17,2,4499,4499,395,586,516,687,809,670,421,292,113,9,1
서울특별시 종로구 교남동(1111058000),9065,9065,613,824,1256,1711,1416,1396,1044,595,171,30,9,4476,4476,313,412,610,925,749,665,456,276,56,9,5,4589,4589,300,412,646,786,667,731,588,319,115,21,4
서울특별시 종로구 가회동(1111060000),5609,5609,332,674,705,921,987,813,620,382,139,32,4,2693,2693,168,357,351,449,476,383,277,179,42,10,1,2916,2916,164,317,354,472,511,430,343,203,97,22,3
서울특별시 종로구 종로1.2.3.4가동(1111061500),7939,7939,294,388,1028,1153,1324,1632,1161,652,227,60,20,4544,4544,160,197,552,680,886,960,666,319,89,29,6,3395,3395,134,191,476,473,438,672,495,333,138,31,14
