행정구역,2022년07월_남_총인구수,2022년07월_남_연령구간인구수,2022년07월_남_0~9세,2022년07월_남_10~19세,2022년07월_남_20~29세,2022년07월_남_30~39세,2022년07월_남_40~49세,2022년07월_남_50~59세,2022년07월_남_60~69세,2022년07월_남_70~79세,2022년07월_남_80~89세,2022년07월_남_90~99세,2022년07월_남_100세 이상,2022년07월_여_총인구수,2022년07월_여_연령구간인구수,2022년07월_여_0~9세,2022년07월_여_10~19세,2022년07월_여_20~29세,2022년07월_여_30~39세,2022년07월_여_40~49세,2022년07월_여_50~59세,2022년07월_여_60~69세,2022년07월_여_70~79세,2022년07월_여_80~89세,2022년07월_여_90~99세,2022년07월_여_100세 이상
서울특별시  (1100000000),4604405,4604405,288438,384784,676526,714705,726767,742841,610357,323880,124549,11127,431,4888806,4888806,273213,367346,734916,715810,742021,764605,681402,389075,187450,31656,1312
서울특별시 종로구 (1111000000),69463,69463,3366,5000,10821,9662,9897,12346,10248,5207,2602,298,16,74084,74084,3302,5147,11837,9747,10591,12347,10175,6439,3824,647,28
서울특별시 종로구 청운효자동(1111051500),5401,5401,360,592,725,692,914,845,659,365,227,21,1,6379,6379,347,534,765,847,1159,1044,753,562,318,48,2
서울특별시 종로구 사직동(1111053000),4130,4130,262,292,498,642,624,701,569,296,208,37,1,5162,5162,264,380,658,832,801,838,629,426,284,50,0
서울특별시 종로구 삼청동(1111054000),1131,1131,40,98,143,136,164,187,185,109,54,13,2,1249,1249,49,70,147,159,180,182,223,126,98,13,2
서울특별시 종로구 부암동(1111055000),4491,4491,233,462,608,600,677,770,619,337,165,20,0,4932,4932,239,370,579,597,836,900,707,402,242,55,5
서울특별시 종로구 평창동(1111056000),8367,8367,599,742,1117,1007,1185,1463,1286,609,318,39,2,9606,9606,533,798,1141,1152,1468,1785,1415,730,466,111,7
서울특별시 종로구 무악동(1111057000),3774,3774,274,420,404,395,641,730,503,249,145,12,1,4356,4356,331,535,455,469,720,709,552,341,213,27,4
서울특별시 종로구 교남동(1111058000),4578,4578,391,365,546,692,820,771,549,278,157,9,0,5364,5364,400,414,612,842,944,821,653,430,222,24,2
서울특별시 종로구 가회동(1111060000),1845,1845,99,142,213,243,321,329,263,151,78,6,0,2163,2163,74,157,249,283,348,364,310,227,123,28,0
